Scientic Name,Common Name,Max height of tree (feet),Crown Diameter (feet),Carbon Monoxide,Nitrogen Dioxide,Sulfur Dioxide,Ozone,Particulate Matter
ANNONA GLABRA,POND APPLE,20,20,2,2,7,1,2
ABUTILON VIRGINIANUM,JOST VAN DYKE'S INDIAN MALLOW,10,5,2,2,7,1,2
CITRUS X PARADISI,GRAPEFRUIT,20,29,2,2,7,1,2
ZANTHOXYLUM FLAVUM,WEST INDIES SATINWOOD,20,20,2,2,7,1,2
MYRCIANTHES FRAGRANS,TWINBERRY,20,20,2,2,7,1,2
BURSERA FAGAROIDES,FRAGRANT BURSERA,20,22,8,2,4,1,3
BURSERA MICROPHYLLA,ELEPHANT TREE,30,22,8,2,4,1,3
ALBIZIA ADINOCEPHALA,CREAM ALBIZIA,30,200,8,2,4,1,3
ALBIZIA CARBONARIA,NAKED ALBIZIA,30,100,8,2,4,1,3
ALBIZIA CHINENSIS,CHINESE ALBIZIA,30,80,8,2,4,1,3
ALBIZIA LEBBEKOIDES,INDIAN ALBIZIA,30,98,2,1,10,1,2
ALBIZIA LOPHANTHA,PLUME ALBIZIA,30,13,2,1,10,1,2
ALBIZIA PROCERA,TALL ALBIZIA,30,100,2,1,10,1,2
ALBIZIA SAPONARIA,WHITEFLOWER ALBIZIA,30,100,2,1,10,1,2
FALCATARIA MOLUCCANA,MOLUCA ALBIZIA,30,50,2,1,10,1,2
STERCULIA APETALA,PANAMA TREE,50,7,10,4,6,0,9
STERCULIA DISCOLOR,STERCULIA ROSADA,50,16,10,4,6,0,9
UMBELLULARIA CALIFORNICA,CALIFORNIA LAUREL,50,30,10,4,6,0,9
CINNAMOMUM VERUM,CINNAMON,50,15,10,4,6,0,9
CINNAMOMUM BURMANNII,PADANG CASSIA,50,23,10,4,6,0,9
HIBISCUS KOKIO,RED ROSEMALLOW,15,23,2,10,4,7,6
HIBISCUS MACROPHYLLUS,LARGELEAF ROSEMALLOW,15,26,2,10,4,7,6
HIBISCUS MUTABILIS,DIXIE ROSEMALLOW,15,10,2,10,4,7,6
HIBISCUS WAIMEAE,WHITE KAUAI ROSEMALLOW,15,20,2,10,4,7,6
NECTANDRA HIHUA,SHINGLEWOOD,30,30,2,10,4,7,6
ARTOCARPUS HETEROPHYLLUS,JACKFRUIT,50,26,3,5,4,10,7
HIBISCUS CALYPHYLLUS,LEMONYELLOW ROSEMALLOW,10,10,3,5,4,10,7
HIBISCUS CLAYI,RED KAUAI ROSEMALLOW,10,6,3,5,4,10,7
HIBISCUS CLYPEATUS,CONGO MAHOE,50,15,3,5,4,10,7
HIBISCUS ELATUS,MAHOE,50,15,3,5,4,10,7
CINNAMOMUM ELONGATUM,LAUREL AVISPILLO,50,23,5,3,4,5,10
CINNAMOMUM MONTANUM,AVISPILLO,50,23,5,3,4,5,10
ELAEOCARPUS BIFIDUS,KALIA,80,2,5,3,4,5,10
HIBISCUS ARNOTTIANUS,WHITE ROSEMALLOW,30,20,5,3,4,5,10
HIBISCUS BRACKENRIDGEI,BRACKENRIDGE'S ROSEMALLOW,15,15,5,3,4,5,10
