Parish,Town,coordinates,sq. ft.
Kingston,Kingston,17.9833°N 76.8000°W,244340000
Kingston,New Kingston,,67810000
Saint Andrew,Half Way Tree,,42087000
Kingston,Cross Roads,,15823000
Kingston,Downtown,,131104000
Saint Catherine,Portmore,17.9499°N 76.8799°W,296653000
Saint James,Montego Bay,18.4666°N 77.9166°W,3000
Saint Catherine,Spanish Town,17.9958°N 76.9551°W,3000
Clarendon,May Pen,17.97°N 77.24°W,3000
Manchester,Mandeville,18.05°N 77.48°W,3000
Saint Catherine,Old Harbour,17.92°N 77.10°W,3000
Westmoreland,Savanna-la-Mar,18.16°N 77.95°W,3000
Saint Ann,Ocho Rios,18.42°N 77.11°W,3000
Portland,Port Antonio,18.16°N 76.38°W,3000
Saint Catherine,Linstead,18.15°N 77.02°W,3000
Saint Ann,Saint Ann's Bay,18.44°N 77.22°W,3000
Saint Thomas,Morant Bay,17.87°N 76.39°W,3000
Clarendon,Hayes,17.88°N 77.25°W,3000
Saint Catherine,Above Rocks,18.1089°N 76.8772°W,3000
Trelawny,Albert Town,18.2958°N 77.5414°W,3000
Saint Ann,Alexandria,18.2983°N 77.3575°W,3000
Manchester,Alligator Pond,17.8711°N 77.5683°W,3000
Saint James,Anchovy,18.4097°N 77.9339°W,3000
Saint Mary,Annotto Bay,18.2703°N 76.7706°W,3000
Saint Elizabeth,Balaclava,18.1705°N 77.6484°W,3000
Saint Ann,Bamboo,18.3851°N 77.2662°W,3000
Saint Thomas,Bath,17.95°N 76.35°W,3000
Westmoreland,Bethel Town,18.30°N 77.95°W,3000
Saint Elizabeth,Black River,18.03°N 77.86°W,3000
Westmoreland,Bluefields,18.17°N 78.03°W,3000
Saint Catherine,Bog Walk,18.10°N 77.02°W,3000
Saint Elizabeth,Brompton,18.06°N 77.90°W,3000
Saint Ann,Brown's Town,18.40°N 77.36°W,3000
Portland,Buff Bay,18.23°N 76.67°W,3000
Saint Elizabeth,Bull Savanna,17.88°N 77.59°W,3000
Saint James,Cambridge,18.32°N 77.89°W,3000
Hanover,Cascade,18.40°N 78.10°W,3000
Saint Ann,Cave Valley,18.27°N 77.37°W,3000
Clarendon,Chapelton,18.08°N 77.27°W,3000
Manchester,Christiana,18.17°N 77.49°W,3000
Saint Ann,Claremont,18.38°N 77.17°W,3000
Trelawny,Clark's Town,18.42°N 77.57°W,3000
Manchester,Coleyville,18.22°N 77.50°W,3000
Saint Andrew,Constant Spring,18.05°N 76.78°W,45531000
Clarendon,Croft's Hill,18.13°N 77.22°W,3000
Saint Thomas,Dalvey,17.90°N 76.25°W,3000
Westmoreland,Darliston,18.23°N 77.97°W,3000
Saint Ann,Discovery Bay,18.47°N 77.39°W,3000
Trelawny,Duncans,18.47°N 77.53°W,3000
Saint Thomas,Easington,17.92°N 76.60°W,3000
Saint Catherine,Ewarton,18.18°N 77.08°W,3000
Trelawny,Falmouth,18.49°N 77.66°W,3000
Clarendon,Frankfield,18.15°N 77.35°W,3000
Westmoreland,Frome,18.30°N 78.15°W,3000
Saint Mary,Gayle,18.33°N 77.00°W,3000
Saint Thomas,Golden Grove,17.93°N 76.27°W,3000
Saint Andrew,Gordon Town,18.05°N 76.70°W,3000
Westmoreland,Grange Hill,18.37°N 78.20°W,3000
Hanover,Green Island,18.38°N 78.58°W,3000
Saint Mary,Guy's Hill,18.25°N 77.00°W,3000
Saint Mary,Highgate,18.32°N 76.87°W,3000
Portland,Hope Bay,18.20°N 76.57°W,3000
Hanover,Hopewell,18.25°N 78.30°W,3000
Saint Mary,Islington,18.32°N 76.85°W,3000
Clarendon,Kellits,18.17°N 77.23°W,3000
Saint Elizabeth,Lacovia,18.07°N 77.75°W,3000
Clarendon,Lionel Town,17.80°N 77.23°W,3000
Westmoreland,Little London,18.30°N 78.20°W,3000
Saint Catherine,Lluidas Vale,18.12°N 77.15°W,3000
Hanover,Lucea,18.44°N 78.18°W,3000
Saint Mary,Lucky Hill,18.30°N 77.02°W,3000
Saint Elizabeth,Maggotty,18.15°N 77.77°W,3000
Saint Elizabeth,Malvern,17.97°N 77.72°W,3000
Portland,Manchioneal,18.05°N 76.28°W,3000
Saint James,Maroon Town,18.35°N 77.79°W,3000
Saint Andrew,Mavis Bank,18.02°N 76.67°W,3000
Saint Ann,Moneague,18.28°N 77.10°W,3000
Portland,Moore Town,18.07°N 76.43°W,3000
Saint Thomas,Morant Bay,17.87°N 76.39°W,3000
Saint Elizabeth,Nain,17.97°N 77.60°W,3000
Westmoreland,Negril,18.32°N 78.33°W,3000
Saint Ann,Ocho Rios,18.42°N 77.11°W,3000
Saint Catherine,Old Harbour Bay,17.90°N 77.10°W,3000
Saint Mary,Oracabessa,18.47°N 76.93°W,3000
Clarendon,Osbourne Store,17.97°N 77.33°W,3000
Westmoreland,Petersfield,18.25°N 78.07°W,3000
Saint Catherine,Point Hill,18.08°N 77.10°W,3000
Saint Mary,Port Maria,18.37°N 76.89°W,3000
Kingston,Port Royal,17.93°N 76.85°W,3000
Manchester,Porus,18.03°N 77.42°W,3000
Clarendon,Race Course,17.83°N 77.28°W,3000
Saint Mary,Richmond,18.23°N 76.90°W,3000
Trelawny,Rio Bueno,18.57°N 77.45°W,3000
Saint Catherine,Riversdale,18.15°N 76.97°W,3000
Clarendon,Rocky Point,17.77°N 77.27°W,3000
Saint Ann,Runaway Bay,18.45°N 77.33°W,3000
Hanover,Sandy Bay,18.45°N 78.10°W,3000
Clarendon,Sanguinetti,18.10°N 77.34°W,3000
Saint Elizabeth,Santa Cruz,18.07°N 77.72°W,3000
Westmoreland,Seaford Town,18.15°N 77.54°W,3000
Saint Thomas,Seaforth,17.93°N 76.45°W,3000
Saint Elizabeth,Siloah,18.17°N 77.73°W,3000
Saint Elizabeth,Southfield,17.88°N 77.67°W,3000
Clarendon,Spalding,18.14°N 77.41°W,3000
Saint Andrew,Stony Hill,18.08°N 76.78°W,3000
Saint Thomas,Trinity Ville,17.95°N 76.53°W,3000
Trelawny,Ulster Spring,18.32°N 77.52°W,3000
Trelawny,Wakefield,18.42°N 77.72°W,3000
Westmoreland,White House,18.08°N 77.97°W,3000
Manchester,Williamsfield,18.07°N 77.48°W,3000
Saint Thomas,Yallahs,17.87°N 76.57°W,3000
